ingredients,label,prediction
"quinoa, chickpeas, parsley, olive oil, lemon, lemon juice",0,Safe
"water, whole grain oats, natural honey, blueberries, almonds",0,Safe
"bleached flour, shortening, dextrose, artificial sweetener, e102 e110, bht bha tbhq",1,Avoid
"orange, grapefruit, lemon, sparkling water, lemon juice",0,Safe
"corn syrup, glucose, gelatin, artificial flavors, yellow 5 yellow 6, high fructose corn syrup",1,Avoid
"black bean soup, cumin, cayenne, lime, spices",0,Safe
"lentils, carrots, tomatoes, onion, turmeric, water, organic cane sugar",0,Safe
"butylated hydroxytoluene, butylated hydroxyanisole, propyl gallate, tbhq",1,Avoid
"enriched flour, sugar, soybean oil, salt, tbhq, nonfat milk, msg monosodium glutamate",1,Avoid
"milk, cream, sugar, eggs, vanilla bean",0,Caution
"hydrogenated vegetable oil, sugar, skim milk powder, sodium caseinate, e471",1,Avoid
"enriched flour, sugar, soybean oil, salt, tbhq, nonfat milk, high fructose corn syrup",1,Avoid
"chicken breast, brown rice, steamed broccoli, olive oil, sea salt",0,Safe
"barley, mushrooms, thyme, vegetable broth, apple cider vinegar",0,Safe
"salmon, lemon, dill, olive oil, garlic, lemon juice",0,Safe
"almonds, cashews, walnuts, pumpkin seeds, raisins, spices",0,Safe
"high fructose corn syrup, hydrogenated oil, artificial flavors, red 40, sodium benzoate, msg monosodium glutamate",1,Avoid
"quinoa, chickpeas, parsley, olive oil, lemon, sea salt",0,Safe
"corn syrup solids, hydrogenated coconut oil, sodium caseinate, dipotassium phosphate, msg monosodium glutamate",1,Avoid
"edamame, sea salt, spices",0,Safe
"brown rice, black beans, olive oil, garlic, cumin, organic cane sugar",0,Safe
"sugar, palm oil, artificial colors, maltodextrin, monosodium glutamate, artificial color",1,Avoid
"barley, mushrooms, thyme, vegetable broth, organic cane sugar",0,Safe
"sodium benzoate, potassium sorbate, acesulfame k, sucralose, red 40 lake, bht bha tbhq",1,Avoid
"whole wheat flour, water, yeast, salt, apple cider vinegar",0,Safe
"sodium benzoate, potassium sorbate, acesulfame k, sucralose, red 40 lake",1,Avoid
"oats, wheat, honey, raisins, sunflower oil, sea salt",0,Caution
"egg whites, spinach, mushrooms, onion, garlic, sea salt",0,Safe
"tempeh, tamari, sesame oil, garlic, ginger, apple cider vinegar",0,Safe
"greek yogurt, strawberries, granola, honey, organic cane sugar",0,Safe
"white flour, sugar, partially hydrogenated soybean oil, artificial vanilla, bha bht, sodium benzoate",1,Avoid
"air popped popcorn, nutritional yeast, sea salt, lemon juice",0,Safe
"artificial sweeteners aspartame saccharin acesulfame, food dyes fd c red 3, bht bha tbhq",1,Avoid
"artificial sweeteners aspartame saccharin acesulfame, food dyes fd c red 3, sodium benzoate",1,Avoid
"water, whole grain oats, natural honey, blueberries, almonds, spices",0,Safe
"enriched flour, sugar, corn syrup, soybean oil, salt, tbhq, artificial color, msg monosodium glutamate",1,Avoid
"partially hydrogenated soybean oil, high fructose corn syrup, artificial vanilla, sodium benzoate",1,Avoid
"oat flour, banana, eggs, vanilla extract, baking powder, apple cider vinegar",0,Safe
"hydrogenated cottonseed oil, high fructose corn syrup, artificial color blue 1, high fructose corn syrup",1,Avoid
"black bean soup, cumin, cayenne, lime",0,Safe
"high fructose corn syrup, caramel color, phosphoric acid, natural flavors, msg monosodium glutamate",1,Avoid
"glucose fructose syrup, acidity regulator e330, colorings e150d e160a, e211, bht bha tbhq",1,Avoid
"sodium nitrate, dextrose, modified food starch, carrageenan, lactic acid starter, msg monosodium glutamate",1,Avoid
"sodium nitrate, dextrose, modified food starch, carrageenan, lactic acid starter, high fructose corn syrup",1,Avoid
"bleached flour, shortening, dextrose, artificial sweetener, e102 e110, high fructose corn syrup",1,Avoid
"salt, sunflower oil, whey, milk, natural flavoring",0,Caution
"orange, grapefruit, lemon, sparkling water, sea salt",0,Safe
"oat flour, banana, eggs, vanilla extract, baking powder, spices",0,Safe
"hydrogenated cottonseed oil, high fructose corn syrup, artificial color blue 1, sodium benzoate",1,Avoid
"skim milk, oats, blueberries, flaxseed, apple cider vinegar",0,Safe
"whole wheat flour, water, yeast, salt, apple cider vinegar",0,Safe
"barley, mushrooms, thyme, vegetable broth, sea salt",0,Safe
"turkey breast, lettuce, tomato, mustard, whole grain bread, organic cane sugar",0,Safe
"sodium nitrite, sodium phosphate, corn syrup, dextrose, modified corn starch, sodium benzoate",1,Avoid
"sodium nitrite, sodium phosphate, corn syrup, dextrose, modified corn starch, high fructose corn syrup",1,Avoid
"sodium nitrate, dextrose, modified food starch, carrageenan, lactic acid starter, msg monosodium glutamate",1,Avoid
"glucose fructose syrup, acidity regulator e330, colorings e150d e160a, e211, high fructose corn syrup",1,Avoid
"white flour, sugar, partially hydrogenated soybean oil, artificial vanilla, bha bht, artificial color",1,Avoid
"barley, mushrooms, thyme, vegetable broth",0,Safe
"beet, carrot, apple, ginger, lemon juice, lemon juice",0,Safe
"evaporated cane juice, whole wheat flour, cocoa, sea salt, vanilla",0,Caution
"lentils, carrots, tomatoes, onion, turmeric, water, organic cane sugar",0,Safe
"enriched flour, sugar, soybean oil, salt, tbhq, nonfat milk, artificial color",1,Avoid
"brown rice, black beans, olive oil, garlic, cumin",0,Safe
"salmon, lemon, dill, olive oil, garlic, apple cider vinegar",0,Safe
"partially hydrogenated soybean oil, high fructose corn syrup, artificial vanilla, artificial color",1,Avoid
"partially hydrogenated soybean oil, high fructose corn syrup, artificial vanilla",1,Avoid
"almonds, cashews, walnuts, pumpkin seeds, raisins",0,Safe
"brown rice, black beans, olive oil, garlic, cumin, organic cane sugar",0,Safe
"sodium nitrite, sodium phosphate, corn syrup, dextrose, modified corn starch, msg monosodium glutamate",1,Avoid
"oat flour, banana, eggs, vanilla extract, baking powder, spices",0,Safe
"air popped popcorn, nutritional yeast, sea salt, spices",0,Safe
"almonds, cashews, walnuts, pumpkin seeds, raisins, organic cane sugar",0,Safe
"sugar, partially hydrogenated palm oil, whey, artificial color, propylene glycol, high fructose corn syrup",1,Avoid
"whole wheat flour, water, yeast, salt, sea salt",0,Safe
"egg whites, spinach, mushrooms, onion, garlic",0,Safe
"whole wheat flour, water, yeast, salt, apple cider vinegar",0,Safe
"sugar, partially hydrogenated palm oil, whey, artificial color, propylene glycol, high fructose corn syrup",1,Avoid
"bleached wheat flour, sugar, leavening, soybean oil, artificial flavor, bha, sodium benzoate",1,Avoid
"high fructose corn syrup, caramel color, phosphoric acid, natural flavors, sodium benzoate",1,Avoid
"enriched flour, sugar, soybean oil, salt, tbhq, nonfat milk, high fructose corn syrup",1,Avoid
"turkey breast, lettuce, tomato, mustard, whole grain bread, spices",0,Safe
"water, whole grain oats, natural honey, blueberries, almonds, organic cane sugar",0,Safe
